Id;Caracteristique
1728;Longueur des branches:140mm,Largeur d'un verre:61mm,Largeur du pont:17mm,Largeur totale:279mm,Hauteur d'un verre:56.3mm,Matière:Métal,Forme:Ronde,Genre:Femme,Couleur:gris_606060
1492;Longueur des branches:140mm,Largeur d'un verre:57mm,Largeur du pont:17mm,Largeur totale:271mm,Hauteur d'un verre:49.6mm,Matière:Plastique,Forme:Carré,Genre:Femme,Couleur:marron_582900
1672;Longueur des branches:145mm,Largeur d'un verre:60mm,Largeur du pont:14mm,Largeur totale:279mm,Hauteur d'un verre:53.1mm,Matière:Métal,Forme:Pilote,Genre:Homme,Couleur:gris_606060
1436;Longueur des branches:135mm,Largeur d'un verre:60.8mm,Largeur du pont:15mm,Largeur totale:271.6mm,Hauteur d'un verre:55.1mm,Matière:Métal,Forme:Ovale,Genre:Femme,Couleur:marron_582900
1736;Longueur des branches:140mm,Largeur d'un verre:55mm,Largeur du pont:19mm,Largeur totale:269mm,Hauteur d'un verre:47.3mm,Matière:Plastique,Forme:Carré,Genre:Homme,Couleur:vert_00FF00
1500;Longueur des branches:130mm,Largeur d'un verre:56mm,Largeur du pont:19mm,Largeur totale:261mm,Hauteur d'un verre:49.6mm,Matière:Plastique,Forme:Papillon,Genre:Femme,Couleur:marron_582900
1680;Longueur des branches:140mm,Largeur d'un verre:57mm,Largeur du pont:17mm,Largeur totale:271mm,Hauteur d'un verre:48.5mm,Matière:Métal,Forme:Ronde,Genre:Femme,Couleur:violet_660099
1444;Longueur des branches:140mm,Largeur d'un verre:55mm,Largeur du pont:18mm,Largeur totale:268mm,Hauteur d'un verre:50.5mm,Matière:Plastique,Forme:Ronde,Genre:Femme,Couleur:gris_606060
1744;Longueur des branches:140mm,Largeur d'un verre:53mm,Largeur du pont:19mm,Largeur totale:265mm,Hauteur d'un verre:44.1mm,Matière:Plastique,Forme:Ronde,Genre:Femme,Couleur:orange_ED7F10
1508;Longueur des branches:145mm,Largeur d'un verre:55mm,Largeur du pont:19mm,Largeur totale:274mm,Hauteur d'un verre:45.2mm,Matière:Plastique,Forme:Rectangle,Genre:Homme,Couleur:gris_606060
1688;Longueur des branches:145mm,Largeur d'un verre:53mm,Largeur du pont:20mm,Largeur totale:271mm,Hauteur d'un verre:46mm,Matière:Plastique,Forme:Ronde,Genre:Femme,Couleur:gris_606060
1452;Longueur des branches:135mm,Largeur d'un verre:59mm,Largeur du pont:17mm,Largeur totale:270mm,Hauteur d'un verre:51.4mm,Matière:Métal,Forme:Ovale,Genre:Femme,Couleur:marron_582900
1752;Longueur des branches:145mm,Largeur d'un verre:55mm,Largeur du pont:19mm,Largeur totale:274mm,Hauteur d'un verre:48.9mm,Matière:Métal,Forme:Pilote,Genre:Homme,Couleur:gris_606060
1516;Longueur des branches:145mm,Largeur d'un verre:55mm,Largeur du pont:19mm,Largeur totale:274mm,Hauteur d'un verre:48.9mm,Matière:Métal,Forme:Pilote,Genre:Homme,Couleur:gris_606060
1696;Longueur des branches:140mm,Largeur d'un verre:62mm,Largeur du pont:16mm,Largeur totale:280mm,Hauteur d'un verre:51.9mm,Matière:Métal,Forme:Ronde,Genre:Femme,Couleur:marron_582900
1460;Longueur des branches:145mm,Largeur d'un verre:57mm,Largeur du pont:19mm,Largeur totale:278mm,Hauteur d'un verre:48.6mm,Matière:Titane,Forme:Carré,Genre:Homme,Couleur:gris_606060
1760;Longueur des branches:145mm,Largeur d'un verre:57mm,Largeur du pont:19mm,Largeur totale:278mm,Hauteur d'un verre:48.6mm,Matière:Titane,Forme:Carré,Genre:Homme,Couleur:marron_582900
1524;Longueur des branches:145mm,Largeur d'un verre:53mm,Largeur du pont:19mm,Largeur totale:270mm,Hauteur d'un verre:46mm,Matière:Plastique,Forme:Ovale,Genre:Femme,Couleur:marron_582900
1704;Longueur des branches:140mm,Largeur d'un verre:57mm,Largeur du pont:15mm,Largeur totale:269mm,Hauteur d'un verre:48.9mm,Matière:Plastique,Forme:Papillon,Genre:Femme,Couleur:gris_606060
1468;Longueur des branches:140mm,Largeur d'un verre:54mm,Largeur du pont:20mm,Largeur totale:268mm,Hauteur d'un verre:42.2mm,Matière:Plastique,Forme:Papillon,Genre:Femme,Couleur:gris_606060
1651;Longueur des branches:145mm,Largeur d'un verre:60mm,Largeur du pont:14mm,Largeur totale:279mm,Hauteur d'un verre:47.4mm,Matière:Métal,Forme:Pilote,Genre:Homme,Couleur:gris_606060
1595;Longueur des branches:140mm,Largeur d'un verre:56mm,Largeur du pont:17mm,Largeur totale:269mm,Hauteur d'un verre:44.9mm,Matière:Plastique,Forme:Papillon,Genre:Femme,Couleur:Gris_606060
1603;Longueur des branches:140mm,Largeur d'un verre:57mm,Largeur du pont:16mm,Largeur totale:270mm,Hauteur d'un verre:53.7mm,Matière:Plastique,Forme:Papillon,Genre:Femme,Couleur:marron_582900
1547;Longueur des branches:140mm,Largeur d'un verre:56mm,Largeur du pont:17mm,Largeur totale:269mm,Hauteur d'un verre:48.3mm,Matière:Métal,Forme:Pantos,Genre:Femme,Couleur:marron_582900
1611;Longueur des branches:140mm,Largeur d'un verre:56mm,Largeur du pont:17mm,Largeur totale:269mm,Hauteur d'un verre:48.3mm,Matière:Métal,Forme:Pantos,Genre:Femme,Couleur:marron_582900
1555;Longueur des branches:135mm,Largeur d'un verre:57.1mm,Largeur du pont:15mm,Largeur totale:264.2mm,Hauteur d'un verre:48.5mm,Matière:Plastique,Forme:Papillon,Genre:Femme,Couleur:Gris_606060
1619;Longueur des branches:135mm,Largeur d'un verre:57.1mm,Largeur du pont:15mm,Largeur totale:264.2mm,Hauteur d'un verre:48.5mm,Matière:Plastique,Forme:Papillon,Genre:Femme,Couleur:marron_582900
1563;Longueur des branches:135mm,Largeur d'un verre:57.1mm,Largeur du pont:15mm,Largeur totale:264.2mm,Hauteur d'un verre:48.5mm,Matière:Plastique,Forme:Papillon,Genre:Femme,Couleur:marron_582900
